model,model_label,seed,environment_steps,eval_episode_reward
multirank_hodge_full_w150,Hodge-F,11,114688000,24.75247573852539
multirank_hodge_full_w150,Hodge-F,11,137625600,25.35710334777832
multirank_hodge_full_w150,Hodge-F,11,160563200,25.495826721191406
multirank_hodge_full_w150,Hodge-F,11,183500800,25.353567123413086
multirank_hodge_full_w150,Hodge-F,11,206438400,25.27083969116211
multirank_hodge_full_w150,Hodge-F,11,229376000,25.676422119140625
multirank_hodge_full_w150,Hodge-F,11,252313600,25.547651290893555
multirank_hodge_full_w150,Hodge-F,11,275251200,25.50533103942871
multirank_hodge_full_w150,Hodge-F,11,298188800,26.333614349365234
multirank_hodge_full_w150,Hodge-F,11,321126400,25.686433792114258
multirank_hodge_full_w150,Hodge-F,11,344064000,26.069467544555664
multirank_hodge_full_w150,Hodge-F,11,367001600,26.52863311767578
multirank_hodge_full_w150,Hodge-F,11,389939200,26.732900619506836
multirank_hodge_full_w150,Hodge-F,11,412876800,26.67089080810547
multirank_hodge_full_w150,Hodge-F,12,0,0.00040682527469471097
multirank_hodge_full_w150,Hodge-F,12,22937600,4.585598468780518
multirank_hodge_full_w150,Hodge-F,12,45875200,18.017715454101562
multirank_hodge_full_w150,Hodge-F,12,68812800,21.12972640991211
multirank_hodge_full_w150,Hodge-F,12,91750400,23.46796417236328
multirank_hodge_full_w150,Hodge-F,12,114688000,24.92181968688965
multirank_hodge_full_w150,Hodge-F,12,137625600,25.53154754638672
multirank_hodge_full_w150,Hodge-F,12,160563200,25.373310089111328
multirank_hodge_full_w150,Hodge-F,12,183500800,25.685266494750977
multirank_hodge_full_w150,Hodge-F,12,206438400,25.98419189453125
multirank_hodge_full_w150,Hodge-F,12,229376000,26.032535552978516
multirank_hodge_full_w150,Hodge-F,12,252313600,25.743858337402344
multirank_hodge_full_w150,Hodge-F,12,275251200,26.559961318969727
multirank_hodge_full_w150,Hodge-F,12,298188800,26.74589729309082
multirank_hodge_full_w150,Hodge-F,12,321126400,26.227157592773438
multirank_hodge_full_w150,Hodge-F,12,344064000,26.6522216796875
multirank_hodge_full_w150,Hodge-F,12,367001600,26.57352066040039
multirank_hodge_full_w150,Hodge-F,12,389939200,26.509294509887695
multirank_hodge_full_w150,Hodge-F,12,412876800,26.804988861083984
multirank_hodge_full_w150,Hodge-F,13,0,0.00011698959860950708
multirank_hodge_full_w150,Hodge-F,13,22937600,7.99561882019043
multirank_hodge_full_w150,Hodge-F,13,45875200,18.174457550048828
multirank_hodge_full_w150,Hodge-F,13,68812800,20.77515411376953
multirank_hodge_full_w150,Hodge-F,13,91750400,22.06662368774414
multirank_hodge_full_w150,Hodge-F,13,114688000,23.761287689208984
multirank_hodge_full_w150,Hodge-F,13,137625600,24.9619140625
multirank_hodge_full_w150,Hodge-F,13,160563200,25.027629852294922
multirank_hodge_full_w150,Hodge-F,13,183500800,25.782913208007812
multirank_hodge_full_w150,Hodge-F,13,206438400,26.194229125976562
multirank_hodge_full_w150,Hodge-F,13,229376000,26.255386352539062
multirank_hodge_full_w150,Hodge-F,13,252313600,27.09127426147461
multirank_hodge_full_w150,Hodge-F,13,275251200,26.467063903808594
multirank_hodge_full_w150,Hodge-F,13,298188800,27.25627899169922
multirank_hodge_full_w150,Hodge-F,13,321126400,27.07741928100586
multirank_hodge_full_w150,Hodge-F,13,344064000,27.38408851623535
multirank_hodge_full_w150,Hodge-F,13,367001600,27.41915512084961
multirank_hodge_full_w150,Hodge-F,13,389939200,27.73780632019043
multirank_hodge_full_w150,Hodge-F,13,412876800,27.412317276000977
